varname	long_name	description	units	dimensions	coordinates	datatype
TRAINNCVMAX	Time of daily maximum grid scale precipitation flux	TIME OF MAXIMUM GRID SCALE PRECIPITATION FLUX IN DIAGNOSTIC OUTPUT INTERVAL	minutes since 1979-10-01 00:00:00	Time south_north west_east	XLONG XLAT XTIME	float32
TSKINTEMPMAX	Time of daily maximum skin temperature	TIME OF MAXIMUM SKIN TEMPERATURE IN DIAGNOSTIC OUTPUT INTERVAL	minutes since 1979-10-01 00:00:00	Time south_north west_east	XLONG XLAT XTIME	float32
TSKINTEMPMIN	Time of daily minimum skin temperature	TIME OF MINIMUM SKIN TEMPERATURE IN DIAGNOSTIC OUTPUT INTERVAL	minutes since 1979-10-01 00:00:00	Time south_north west_east	XLONG XLAT XTIME	float32
TSPDUV10MAX	Time of daily maximum wind speed at 10 meters	TIME OF MAXIMUM WIND SPEED AT 10M HEIGHT IN DIAGNOSTIC OUTPUT INTERVAL	minutes since 1979-10-01 00:00:00	Time south_north west_east	XLONG XLAT XTIME	float32
TT2MAX	Time of daily maximum temperature at 2 meters	TIME OF MAXIMUM TEMPERATURE AT 2M HEIGHT IN DIAGNOSTIC OUTPUT INTERVAL	minutes since 1979-10-01 00:00:00	Time south_north west_east	XLONG XLAT XTIME	float32
TT2MIN	Time of daily minimum temperature at 2 meters	TIME OF MINIMUM TEMPERATURE AT 2M HEIGHT IN DIAGNOSTIC OUTPUT INTERVAL	minutes since 1979-10-01 00:00:00	Time south_north west_east	XLONG XLAT XTIME	float32
Times	Model time in string format (YYYY-MM-DD_hh:mm:ss)			Time		bytes8
U10MAX	Daily maximum U-component of wind at 10 meters with respect to model grid	MAXIMUM U AT 10M HEIGHT IN DIAGNOSTIC OUTPUT INTERVAL	m s-1	Time south_north west_east	XLONG XLAT XTIME	float32
U10MEAN	Daily mean U-component of wind at 10 meters with respect to model grid	MEAN U AT 10M HEIGHT IN DIAGNOSTIC OUTPUT INTERVAL	m s-1	Time south_north west_east	XLONG XLAT XTIME	float32
U10STD	Daily standard deviation of U-component of wind at 10 meters with respect to model grid	STANDARD DEV. U AT 10M HEIGHT IN DIAGNOSTIC OUTPUT INTERVAL	m s-1	Time south_north west_east	XLONG XLAT XTIME	float32
V10MAX	Daily maximum V-component of wind at 10 meters with respect to model grid	MAXIMUM V AT 10M HEIGHT IN DIAGNOSTIC OUTPUT INTERVAL	m s-1	Time south_north west_east	XLONG XLAT XTIME	float32
V10MEAN	Daily mean V-component of wind at 10 meters with respect to model grid	MEAN V AT 10M HEIGHT IN DIAGNOSTIC OUTPUT INTERVAL	m s-1	Time south_north west_east	XLONG XLAT XTIME	float32
V10STD	Daily standard deviation of V-component of wind at 10 meters with respect to model grid	STANDARD DEV. V AT 10M HEIGHT IN DIAGNOSTIC OUTPUT INTERVAL	m s-1	Time south_north west_east	XLONG XLAT XTIME	float32
